suite,scenario,time_s,time_min,temperature_K,ambient_K,sun_fraction,solar_W_m2,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
radiation,sun,215.0,3.583333,300.073885331922,270.0,1.0,1000.0,0.0,0.0,-201.9546013480654,212.5,10.54539865193459,0.0,10.54539865193459,0.0,0.0,-43.3601120444634,45.6875,2.3273879555365835,0.0,2.3273879555365835
radiation,sun,220.0,3.666667,300.0755571286405,270.0,1.0,1000.0,0.0,0.0,-201.96768067320812,212.5,10.532319326791878,0.0,10.532319326791878,0.0,0.0,-44.36995044782944,46.75,2.380049552170543,0.0,2.380049552170543
radiation,sun,225.0,3.75,300.07722685181596,270.0,1.0,1000.0,0.0,0.0,-201.98074399470067,212.5,10.519256005299326,0.0,10.519256005299326,0.0,0.0,-45.37985416780295,47.8125,2.4326458321970397,0.0,2.4326458321970397
radiation,sun,230.0,3.833333,300.07889450398557,270.0,1.0,1000.0,0.0,0.0,-201.99379133158195,212.5,10.506208668418054,0.0,10.506208668418054,0.0,0.0,-46.389823124460854,48.875,2.48517687553913,0.0,2.48517687553913
radiation,sun,235.0,3.916667,300.0805600876835,270.0,1.0,1000.0,0.0,0.0,-202.00682270286993,212.5,10.493177297130075,0.0,10.493177297130075,0.0,0.0,-47.3998572379752,49.9375,2.5376427620247806,0.0,2.5376427620247806
radiation,sun,240.0,4.0,300.0822236054411,270.0,1.0,1000.0,0.0,0.0,-202.01983812756077,212.5,10.480161872439226,0.0,10.480161872439226,0.0,0.0,-48.40995642861301,51.0,2.5900435713869765,0.0,2.5900435713869765
radiation,sun,245.0,4.083333,300.0838850597864,270.0,1.0,1000.0,0.0,0.0,-202.0328376246298,212.5,10.467162375370208,0.0,10.467162375370208,0.0,0.0,-49.42012061673615,52.0625,2.6423793832638274,0.0,2.6423793832638274
radiation,sun,250.0,4.166667,300.0855444532446,270.0,1.0,1000.0,0.0,0.0,-202.04582121303076,212.5,10.454178786969237,0.0,10.454178786969237,0.0,0.0,-50.43034972280131,53.125,2.694650277198674,0.0,2.694650277198674
radiation,sun,255.0,4.25,300.087201788338,270.0,1.0,1000.0,0.0,0.0,-202.05878891169613,212.5,10.441211088303874,0.0,10.441211088303874,0.0,0.0,-51.44064366735979,54.1875,2.7468563326401934,0.0,2.7468563326401934
radiation,sun,260.0,4.333333,300.0888570675857,270.0,1.0,1000.0,0.0,0.0,-202.07174073953794,212.5,10.428259260462056,0.0,10.428259260462056,0.0,0.0,-52.45100237105748,55.25,2.7989976289425034,0.0,2.7989976289425034
radiation,sun,265.0,4.416667,300.0905102935039,270.0,1.0,1000.0,0.0,0.0,-202.0846767154461,212.5,10.415323284553892,0.0,10.415323284553892,0.0,0.0,-53.46142575463471,56.3125,2.8510742453652727,0.0,2.8510742453652727
radiation,sun,270.0,4.5,300.09216146860575,270.0,1.0,1000.0,0.0,0.0,-202.0975968582897,212.5,10.402403141710295,0.0,10.402403141710295,0.0,0.0,-54.471913738926155,57.375,2.9030862610738244,0.0,2.9030862610738244
radiation,sun,275.0,4.583333,300.09381059540146,270.0,1.0,1000.0,0.0,0.0,-202.11050118691713,212.5,10.389498813082866,0.0,10.389498813082866,0.0,0.0,-55.48246624486074,58.4375,2.955033755139239,0.0,2.955033755139239
radiation,sun,280.0,4.666667,300.09545767639827,270.0,1.0,1000.0,0.0,0.0,-202.12338972015482,212.5,10.376610279845181,0.0,10.376610279845181,0.0,0.0,-56.493083193461516,59.5,3.006916806538465,0.0,3.006916806538465
radiation,sun,285.0,4.75,300.09710271410034,270.0,1.0,1000.0,0.0,0.0,-202.13626247680898,212.5,10.36373752319102,0.0,10.36373752319102,0.0,0.0,-57.50376450584556,60.5625,3.05873549415442,0.0,3.05873549415442
