suite,scenario,time_s,time_min,temperature_K,ambient_K,surface_type,surface_K,light,sun_fraction,wind_m_s,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
combined,hot_sun_wind_20,4580.0,76.333333,287.97091646010966,270.0,hot,340.0,sun,1.0,20.0,780.4361886829219,-879.9973797441172,-112.96586342068504,212.5,99.53413657931496,0.0,-0.027054481880398384,3494.4785766454925,-4291.285994650077,-555.3587135019594,973.25,417.89128649804053,0.0,-378.9161315065481
combined,hot_sun_wind_20,4585.0,76.416667,287.9709122140583,270.0,hot,340.0,sun,1.0,20.0,780.4362530983551,-879.9971694584258,-112.96583376373533,212.5,99.53416623626467,0.0,-0.026750123806010606,3498.3807579109844,-4295.685980497369,-555.9235426707781,974.3125,418.3889573292219,0.0,-378.9162652571671
combined,hot_sun_wind_20,4590.0,76.5,287.97090801577417,270.0,hot,340.0,sun,1.0,20.0,780.4363167891258,-879.9969615384117,-112.96580444042243,212.5,99.53419555957757,0.0,-0.0264491897083019,3502.2829394949304,-4300.085965305062,-556.4883716929802,975.375,418.88662830701975,0.0,-378.91639750311566
combined,hot_sun_wind_20,4595.0,76.583333,287.97090386472,270.0,hot,340.0,sun,1.0,20.0,780.4363797633874,-879.996755957459,-112.9657754469926,212.5,99.5342245530074,0.0,-0.026151641064117825,3506.185121393747,-4304.485949084849,-557.0532005702152,976.4375,419.38429942978485,0.0,-378.91652826132093
combined,hot_sun_wind_20,4600.0,76.666667,287.9708997603645,270.0,hot,340.0,sun,1.0,20.0,780.4364420291997,-879.9965526892553,-112.96574677973491,212.5,99.53425322026509,0.0,-0.02585743979047095,3510.0873036038934,-4308.885931848295,-557.6180293041139,977.5,419.88197069588614,0.0,-378.9166575485199
combined,hot_sun_wind_20,4605.0,76.75,287.97089570218225,270.0,hot,340.0,sun,1.0,20.0,780.4365035945327,-879.9963517077832,-112.96571843498008,212.5,99.53428156501992,0.0,-0.025566548230571584,3513.989486121866,-4313.285913606834,-558.1828578962887,978.5625,420.3796421037112,0.0,-378.91678538126104
combined,hot_sun_wind_20,4610.0,76.833333,287.9708916896538,270.0,hot,340.0,sun,1.0,20.0,780.4365644672663,-879.9961529873176,-112.9656904091,212.5,99.5343095909,0.0,-0.025278929151312468,3517.891668944202,-4317.685894371771,-558.7476863483342,979.625,420.8773136516657,0.0,-378.9169117759068
combined,hot_sun_wind_20,4615.0,76.916667,287.97088772226556,270.0,hot,340.0,sun,1.0,20.0,780.4366246551931,-879.9959565024201,-112.96566269850696,212.5,99.53433730149304,0.0,-0.02499454573394644,3521.7938520674784,-4322.0858741542825,-559.3125146618268,980.6875,421.3749853381732,0.0,-378.91703674863544
combined,hot_sun_wind_20,4620.0,77.0,287.97088379950975,270.0,hot,340.0,sun,1.0,20.0,780.4366841660167,-879.9957622279418,-112.9656352996542,212.5,99.5343647003458,0.0,-0.024713361579301818,3525.6960354883086,-4326.485852965423,-559.877342838325,981.75,421.87265716167485,0.0,-378.91716031544337
combined,hot_sun_wind_20,4625.0,77.083333,287.9708799208842,270.0,hot,340.0,sun,1.0,20.0,780.4367430073537,-879.9955701390177,-112.96560820903488,212.5,99.53439179096512,0.0,-0.024435340698858,3529.598219203345,-4330.885830816118,-560.4421708793703,982.8125,422.3703291206297,0.0,-378.91728249214685
