suite,scenario,time_s,time_min,temperature_K,ambient_K,wind_m_s,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
convection,wind_0,185.0,3.083333,298.91824795221953,270.0,0.0,0.0,-180.91853237237638,0.0,0.0,0.0,0.0,-180.91853237237638,0.0,-34.075189505083024,0.0,0.0,0.0,0.0,-34.075189505083024
convection,wind_0,190.0,3.166667,298.8895592141717,270.0,0.0,0.0,-180.73904970137207,0.0,0.0,0.0,0.0,-180.73904970137207,0.0,-34.97888475358988,0.0,0.0,0.0,0.0,-34.97888475358988
convection,wind_0,195.0,3.25,298.8608989371735,270.0,0.0,0.0,-180.5597450885731,0.0,0.0,0.0,0.0,-180.5597450885731,0.0,-35.88168347903275,0.0,0.0,0.0,0.0,-35.88168347903275
convection,wind_0,200.0,3.333333,298.8322670929898,270.0,0.0,0.0,-180.3806183573343,0.0,0.0,0.0,0.0,-180.3806183573343,0.0,-36.783586570819416,0.0,0.0,0.0,0.0,-36.783586570819416
convection,wind_0,205.0,3.416667,298.8036636534134,270.0,0.0,0.0,-180.2016693311863,0.0,0.0,0.0,0.0,-180.2016693311863,0.0,-37.684594917475344,0.0,0.0,0.0,0.0,-37.684594917475344
convection,wind_0,210.0,3.5,298.77508859026517,270.0,0.0,0.0,-180.0228978338339,0.0,0.0,0.0,0.0,-180.0228978338339,0.0,-38.58470940664452,0.0,0.0,0.0,0.0,-38.58470940664452
convection,wind_0,215.0,3.583333,298.74654187539386,270.0,0.0,0.0,-179.8443036891573,0.0,0.0,0.0,0.0,-179.8443036891573,0.0,-39.48393092509031,0.0,0.0,0.0,0.0,-39.48393092509031
convection,wind_0,220.0,3.666667,298.7180234806762,270.0,0.0,0.0,-179.66588672121162,0.0,0.0,0.0,0.0,-179.66588672121162,0.0,-40.382260358696364,0.0,0.0,0.0,0.0,-40.382260358696364
convection,wind_0,225.0,3.75,298.6895333780168,270.0,0.0,0.0,-179.48764675422632,0.0,0.0,0.0,0.0,-179.48764675422632,0.0,-41.2796985924675,0.0,0.0,0.0,0.0,-41.2796985924675
convection,wind_0,230.0,3.833333,298.66107153934814,270.0,0.0,0.0,-179.30958361260494,0.0,0.0,0.0,0.0,-179.30958361260494,0.0,-42.176246510530525,0.0,0.0,0.0,0.0,-42.176246510530525
convection,wind_0,235.0,3.916667,298.63263793663054,270.0,0.0,0.0,-179.13169712092588,0.0,0.0,0.0,0.0,-179.13169712092588,0.0,-43.07190499613515,0.0,0.0,0.0,0.0,-43.07190499613515
convection,wind_0,240.0,4.0,298.6042325418521,270.0,0.0,0.0,-178.9539871039409,0.0,0.0,0.0,0.0,-178.9539871039409,0.0,-43.96667493165486,0.0,0.0,0.0,0.0,-43.96667493165486
convection,wind_0,245.0,4.083333,298.5758553270289,270.0,0.0,0.0,-178.77645338657578,0.0,0.0,0.0,0.0,-178.77645338657578,0.0,-44.86055719858774,0.0,0.0,0.0,0.0,-44.86055719858774
convection,wind_0,250.0,4.166667,298.54750626420446,270.0,0.0,0.0,-178.59909579393047,0.0,0.0,0.0,0.0,-178.59909579393047,0.0,-45.75355267755739,0.0,0.0,0.0,0.0,-45.75355267755739
convection,wind_0,255.0,4.25,298.5191853254503,270.0,0.0,0.0,-178.42191415127786,0.0,0.0,0.0,0.0,-178.42191415127786,0.0,-46.645662248313776,0.0,0.0,0.0,0.0,-46.645662248313776
convection,wind_0,260.0,4.333333,298.4908924828655,270.0,0.0,0.0,-178.24490828406425,0.0,0.0,0.0,0.0,-178.24490828406425,0.0,-47.5368867897341,0.0,0.0,0.0,0.0,-47.5368867897341
convection,wind_0,265.0,4.416667,298.4626277085769,270.0,0.0,0.0,-178.06807801790933,0.0,0.0,0.0,0.0,-178.06807801790933,0.0,-48.427227179823646,0.0,0.0,0.0,0.0,-48.427227179823646
convection,wind_0,270.0,4.5,298.434390974739,270.0,0.0,0.0,-177.89142317860575,0.0,0.0,0.0,0.0,-177.89142317860575,0.0,-49.316684295716676,0.0,0.0,0.0,0.0,-49.316684295716676
convection,wind_0,275.0,4.583333,298.4061822535339,270.0,0.0,0.0,-177.71494359211886,0.0,0.0,0.0,0.0,-177.71494359211886,0.0,-50.20525901367727,0.0,0.0,0.0,0.0,-50.20525901367727
convection,wind_0,280.0,4.666667,298.3780015171713,270.0,0.0,0.0,-177.53863908458703,0.0,0.0,0.0,0.0,-177.53863908458703,0.0,-51.092952209100204,0.0,0.0,0.0,0.0,-51.092952209100204
convection,wind_0,285.0,4.75,298.3498487378884,270.0,0.0,0.0,-177.3625094823206,0.0,0.0,0.0,0.0,-177.3625094823206,0.0,-51.97976475651181,0.0,0.0,0.0,0.0,-51.97976475651181
convection,wind_0,290.0,4.833333,298.32172388795004,270.0,0.0,0.0,-177.18655461180253,0.0,0.0,0.0,0.0,-177.18655461180253,0.0,-52.865697529570824,0.0,0.0,0.0,0.0,-52.865697529570824
convection,wind_0,295.0,4.916667,298.2936269396485,270.0,0.0,0.0,-177.01077429968777,0.0,0.0,0.0,0.0,-177.01077429968777,0.0,-53.75075140106926,0.0,0.0,0.0,0.0,-53.75075140106926
convection,wind_0,300.0,5.0,298.2655578653036,270.0,0.0,0.0,-176.83516837280314,0.0,0.0,0.0,0.0,-176.83516837280314,0.0,-54.63492724293328,0.0,0.0,0.0,0.0,-54.63492724293328
convection,wind_0,305.0,5.083333,298.2375166372626,270.0,0.0,0.0,-176.65973665814755,0.0,0.0,0.0,0.0,-176.65973665814755,0.0,-55.51822592622402,0.0,0.0,0.0,0.0,-55.51822592622402
convection,wind_0,310.0,5.166667,298.20950322790026,270.0,0.0,0.0,-176.48447898289135,0.0,0.0,0.0,0.0,-176.48447898289135,0.0,-56.400648321138476,0.0,0.0,0.0,0.0,-56.400648321138476
convection,wind_0,315.0,5.25,298.1815176096186,270.0,0.0,0.0,-176.30939517437662,0.0,0.0,0.0,0.0,-176.30939517437662,0.0,-57.28219529701036,0.0,0.0,0.0,0.0,-57.28219529701036
convection,wind_0,320.0,5.333333,298.15355975484715,270.0,0.0,0.0,-176.13448506011622,0.0,0.0,0.0,0.0,-176.13448506011622,0.0,-58.16286772231094,0.0,0.0,0.0,0.0,-58.16286772231094
convection,wind_0,325.0,5.416667,298.12562963604273,270.0,0.0,0.0,-175.9597484677947,0.0,0.0,0.0,0.0,-175.9597484677947,0.0,-59.04266646464991,0.0,0.0,0.0,0.0,-59.04266646464991
convection,wind_0,330.0,5.5,298.09772722568954,270.0,0.0,0.0,-175.78518522526707,0.0,0.0,0.0,0.0,-175.78518522526707,0.0,-59.92159239077625,0.0,0.0,0.0,0.0,-59.92159239077625
convection,wind_0,335.0,5.583333,298.06985249629895,270.0,0.0,0.0,-175.61079516055963,0.0,0.0,0.0,0.0,-175.61079516055963,0.0,-60.79964636657904,0.0,0.0,0.0,0.0,-60.79964636657904
convection,wind_0,340.0,5.666667,298.04200542040974,270.0,0.0,0.0,-175.43657810186843,0.0,0.0,0.0,0.0,-175.43657810186843,0.0,-61.676829257088386,0.0,0.0,0.0,0.0,-61.676829257088386
convection,wind_0,345.0,5.75,298.0141859705879,270.0,0.0,0.0,-175.26253387756086,0.0,0.0,0.0,0.0,-175.26253387756086,0.0,-62.553141926476194,0.0,0.0,0.0,0.0,-62.553141926476194
convection,wind_0,350.0,5.833333,297.9863941194266,270.0,0.0,0.0,-175.0886623161744,0.0,0.0,0.0,0.0,-175.0886623161744,0.0,-63.42858523805707,0.0,0.0,0.0,0.0,-63.42858523805707
convection,wind_0,355.0,5.916667,297.95862983954623,270.0,0.0,0.0,-174.9149632464164,0.0,0.0,0.0,0.0,-174.9149632464164,0.0,-64.30316005428915,0.0,0.0,0.0,0.0,-64.30316005428915
convection,wind_0,360.0,6.0,297.9308931035943,270.0,0.0,0.0,-174.74143649716396,0.0,0.0,0.0,0.0,-174.74143649716396,0.0,-65.17686723677497,0.0,0.0,0.0,0.0,-65.17686723677497
convection,wind_0,365.0,6.083333,297.9031838842455,270.0,0.0,0.0,-174.56808189746448,0.0,0.0,0.0,0.0,-174.56808189746448,0.0,-66.04970764626229,0.0,0.0,0.0,0.0,-66.04970764626229
convection,wind_0,370.0,6.166667,297.8755021542016,270.0,0.0,0.0,-174.39489927653432,0.0,0.0,0.0,0.0,-174.39489927653432,0.0,-66.92168214264495,0.0,0.0,0.0,0.0,-66.92168214264495
convection,wind_0,375.0,6.25,297.8478478861915,270.0,0.0,0.0,-174.22188846376017,0.0,0.0,0.0,0.0,-174.22188846376017,0.0,-67.79279158496377,0.0,0.0,0.0,0.0,-67.79279158496377
convection,wind_0,380.0,6.333333,297.8202210529711,270.0,0.0,0.0,-174.04904928869698,0.0,0.0,0.0,0.0,-174.04904928869698,0.0,-68.66303683140725,0.0,0.0,0.0,0.0,-68.66303683140725
convection,wind_0,385.0,6.416667,297.7926216273233,270.0,0.0,0.0,-173.87638158106924,0.0,0.0,0.0,0.0,-173.87638158106924,0.0,-69.5324187393126,0.0,0.0,0.0,0.0,-69.5324187393126
convection,wind_0,390.0,6.5,297.7650495820581,270.0,0.0,0.0,-173.70388517077055,0.0,0.0,0.0,0.0,-173.70388517077055,0.0,-70.40093816516647,0.0,0.0,0.0,0.0,-70.40093816516647
convection,wind_0,395.0,6.583333,297.7375048900124,270.0,0.0,0.0,-173.53155988786318,0.0,0.0,0.0,0.0,-173.53155988786318,0.0,-71.26859596460578,0.0,0.0,0.0,0.0,-71.26859596460578
convection,wind_0,400.0,6.666667,297.7099875240501,270.0,0.0,0.0,-173.3594055625776,0.0,0.0,0.0,0.0,-173.3594055625776,0.0,-72.13539299241867,0.0,0.0,0.0,0.0,-72.13539299241867
convection,wind_0,405.0,6.75,297.68249745706197,270.0,0.0,0.0,-173.18742202531325,0.0,0.0,0.0,0.0,-173.18742202531325,0.0,-73.00133010254524,0.0,0.0,0.0,0.0,-73.00133010254524
convection,wind_0,410.0,6.833333,297.65503466196566,270.0,0.0,0.0,-173.01560910663733,0.0,0.0,0.0,0.0,-173.01560910663733,0.0,-73.86640814807842,0.0,0.0,0.0,0.0,-73.86640814807842
convection,wind_0,415.0,6.916667,297.62759911170576,270.0,0.0,0.0,-172.84396663728535,0.0,0.0,0.0,0.0,-172.84396663728535,0.0,-74.73062798126485,0.0,0.0,0.0,0.0,-74.73062798126485
convection,wind_0,420.0,7.0,297.6001907792537,270.0,0.0,0.0,-172.67249444816102,0.0,0.0,0.0,0.0,-172.67249444816102,0.0,-75.59399045350564,0.0,0.0,0.0,0.0,-75.59399045350564
convection,wind_0,425.0,7.083333,297.57280963760763,270.0,0.0,0.0,-172.5011923703356,0.0,0.0,0.0,0.0,-172.5011923703356,0.0,-76.45649641535732,0.0,0.0,0.0,0.0,-76.45649641535732
convection,wind_0,430.0,7.166667,297.54545565979254,270.0,0.0,0.0,-172.3300602350477,0.0,0.0,0.0,0.0,-172.3300602350477,0.0,-77.31814671653255,0.0,0.0,0.0,0.0,-77.31814671653255
convection,wind_0,435.0,7.25,297.5181288188602,270.0,0.0,0.0,-172.15909787370336,0.0,0.0,0.0,0.0,-172.15909787370336,0.0,-78.17894220590108,0.0,0.0,0.0,0.0,-78.17894220590108
convection,wind_0,440.0,7.333333,297.4908290878891,270.0,0.0,0.0,-171.9883051178762,0.0,0.0,0.0,0.0,-171.9883051178762,0.0,-79.03888373149047,0.0,0.0,0.0,0.0,-79.03888373149047
convection,wind_0,445.0,7.416667,297.4635564399845,270.0,0.0,0.0,-171.81768179930685,0.0,0.0,0.0,0.0,-171.81768179930685,0.0,-79.89797214048701,0.0,0.0,0.0,0.0,-79.89797214048701
convection,wind_0,450.0,7.5,297.43631084827814,270.0,0.0,0.0,-171.64722774990295,0.0,0.0,0.0,0.0,-171.64722774990295,0.0,-80.75620827923653,0.0,0.0,0.0,0.0,-80.75620827923653
convection,wind_0,455.0,7.583333,297.40909228592864,270.0,0.0,0.0,-171.47694280173837,0.0,0.0,0.0,0.0,-171.47694280173837,0.0,-81.6135929932452,0.0,0.0,0.0,0.0,-81.6135929932452
convection,wind_0,460.0,7.666667,297.38190072612116,270.0,0.0,0.0,-171.30682678705398,0.0,0.0,0.0,0.0,-171.30682678705398,0.0,-82.47012712718049,0.0,0.0,0.0,0.0,-82.47012712718049
convection,wind_0,465.0,7.75,297.35473614206745,270.0,0.0,0.0,-171.13687953825723,0.0,0.0,0.0,0.0,-171.13687953825723,0.0,-83.32581152487178,0.0,0.0,0.0,0.0,-83.32581152487178
convection,wind_0,470.0,7.833333,297.32759850700586,270.0,0.0,0.0,-170.96710088792156,0.0,0.0,0.0,0.0,-170.96710088792156,0.0,-84.18064702931139,0.0,0.0,0.0,0.0,-84.18064702931139
convection,wind_0,475.0,7.916667,297.3004877942013,270.0,0.0,0.0,-170.79749066878662,0.0,0.0,0.0,0.0,-170.79749066878662,0.0,-85.0346344826553,0.0,0.0,0.0,0.0,-85.0346344826553
convection,wind_0,480.0,8.0,297.27340397694513,270.0,0.0,0.0,-170.62804871375795,0.0,0.0,0.0,0.0,-170.62804871375795,0.0,-85.88777472622411,0.0,0.0,0.0,0.0,-85.88777472622411
