suite,scenario,time_s,time_min,temperature_K,ambient_K,surface_K,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
conduction,hot_surface,510.0,8.5,308.6337417888959,270.0,340.0,471.6167702385576,0.0,0.0,0.0,0.0,0.0,471.6167702385576,271.96286635022665,0.0,0.0,0.0,0.0,0.0,271.96286635022665
conduction,hot_surface,515.0,8.583333,308.7084233560652,270.0,340.0,470.49387316656123,0.0,0.0,0.0,0.0,0.0,470.49387316656123,274.31533571605945,0.0,0.0,0.0,0.0,0.0,274.31533571605945
conduction,hot_surface,520.0,8.666667,308.78292710997937,270.0,340.0,469.3736496590216,0.0,0.0,0.0,0.0,0.0,469.3736496590216,276.66220396435455,0.0,0.0,0.0,0.0,0.0,276.66220396435455
conduction,hot_surface,525.0,8.75,308.85725347400324,270.0,340.0,468.25609335030947,0.0,0.0,0.0,0.0,0.0,468.25609335030947,279.0034844311061,0.0,0.0,0.0,0.0,0.0,279.0034844311061
conduction,hot_surface,530.0,8.833333,308.9314028704937,270.0,340.0,467.14119788995134,0.0,0.0,0.0,0.0,0.0,467.14119788995134,281.33919042055584,0.0,0.0,0.0,0.0,0.0,281.33919042055584
conduction,hot_surface,535.0,8.916667,309.005375720802,270.0,340.0,466.02895694259473,0.0,0.0,0.0,0.0,0.0,466.02895694259473,283.6693352052688,0.0,0.0,0.0,0.0,0.0,283.6693352052688
conduction,hot_surface,540.0,9.0,309.0791724452763,270.0,340.0,464.9193641879697,0.0,0.0,0.0,0.0,0.0,464.9193641879697,285.99393202620865,0.0,0.0,0.0,0.0,0.0,285.99393202620865
conduction,hot_surface,545.0,9.083333,309.1527934632637,270.0,340.0,463.8124133208555,0.0,0.0,0.0,0.0,0.0,463.8124133208555,288.3129940928129,0.0,0.0,0.0,0.0,0.0,288.3129940928129
conduction,hot_surface,550.0,9.166667,309.2262391931131,270.0,340.0,462.7080980510442,0.0,0.0,0.0,0.0,0.0,462.7080980510442,290.6265345830682,0.0,0.0,0.0,0.0,0.0,290.6265345830682
conduction,hot_surface,555.0,9.25,309.2995100521771,270.0,340.0,461.6064121033037,0.0,0.0,0.0,0.0,0.0,461.6064121033037,292.9345666435847,0.0,0.0,0.0,0.0,0.0,292.9345666435847
conduction,hot_surface,560.0,9.333333,309.37260645681476,270.0,340.0,460.50734921734374,0.0,0.0,0.0,0.0,0.0,460.50734921734374,295.2371033896714,0.0,0.0,0.0,0.0,0.0,295.2371033896714
conduction,hot_surface,565.0,9.416667,309.4455288223938,270.0,340.0,459.4109031477785,0.0,0.0,0.0,0.0,0.0,459.4109031477785,297.5341579054103,0.0,0.0,0.0,0.0,0.0,297.5341579054103
conduction,hot_surface,570.0,9.5,309.5182775632928,270.0,340.0,458.31706766409326,0.0,0.0,0.0,0.0,0.0,458.31706766409326,299.8257432437308,0.0,0.0,0.0,0.0,0.0,299.8257432437308
conduction,hot_surface,575.0,9.583333,309.590853092904,270.0,340.0,457.2258365506076,0.0,0.0,0.0,0.0,0.0,457.2258365506076,302.11187242648384,0.0,0.0,0.0,0.0,0.0,302.11187242648384
conduction,hot_surface,580.0,9.666667,309.6632558236352,270.0,340.0,456.1372036064398,0.0,0.0,0.0,0.0,0.0,456.1372036064398,304.39255844451606,0.0,0.0,0.0,0.0,0.0,304.39255844451606
conduction,hot_surface,585.0,9.75,309.73548616691227,270.0,340.0,455.05116264547183,0.0,0.0,0.0,0.0,0.0,455.05116264547183,306.66781425774343,0.0,0.0,0.0,0.0,0.0,306.66781425774343
conduction,hot_surface,590.0,9.833333,309.8075445331815,270.0,340.0,453.967707496316,0.0,0.0,0.0,0.0,0.0,453.967707496316,308.93765279522495,0.0,0.0,0.0,0.0,0.0,308.93765279522495
conduction,hot_surface,595.0,9.916667,309.87943133191203,270.0,340.0,452.8868320022775,0.0,0.0,0.0,0.0,0.0,452.8868320022775,311.2020869552364,0.0,0.0,0.0,0.0,0.0,311.2020869552364
conduction,hot_surface,600.0,10.0,309.95114697159795,270.0,340.0,451.80853002131954,0.0,0.0,0.0,0.0,0.0,451.80853002131954,313.461129605343,0.0,0.0,0.0,0.0,0.0,313.461129605343
conduction,hot_surface,605.0,10.083333,310.0226918597608,270.0,340.0,450.73279542603075,0.0,0.0,0.0,0.0,0.0,450.73279542603075,315.71479358247313,0.0,0.0,0.0,0.0,0.0,315.71479358247313
conduction,hot_surface,610.0,10.166667,310.09406640295185,270.0,340.0,449.6596221035878,0.0,0.0,0.0,0.0,0.0,449.6596221035878,317.9630916929911,0.0,0.0,0.0,0.0,0.0,317.9630916929911
conduction,hot_surface,615.0,10.25,310.1652710067543,270.0,340.0,448.5890039557222,0.0,0.0,0.0,0.0,0.0,448.5890039557222,320.20603671276973,0.0,0.0,0.0,0.0,0.0,320.20603671276973
conduction,hot_surface,620.0,10.333333,310.2363060757859,270.0,340.0,447.52093489868514,0.0,0.0,0.0,0.0,0.0,447.52093489868514,322.44364138726314,0.0,0.0,0.0,0.0,0.0,322.44364138726314
conduction,hot_surface,625.0,10.416667,310.30717201370067,270.0,340.0,446.45540886321186,0.0,0.0,0.0,0.0,0.0,446.45540886321186,324.6759184315792,0.0,0.0,0.0,0.0,0.0,324.6759184315792
conduction,hot_surface,630.0,10.5,310.37786922319185,270.0,340.0,445.39241979449,0.0,0.0,0.0,0.0,0.0,445.39241979449,326.90288053055167,0.0,0.0,0.0,0.0,0.0,326.90288053055167
